Dish.ID,Species,1,6,9,12,14,16,19,21,23,26,30,34,37,41,43,Length,Temperature,Moisture,Replicate,Start.Seeds,End.Seeds,Moldy,Empty,Viable,Starting.viable.count,Total.germinated
39,FH,0,2,5,0,1,0,0,0,0,0,1,0,0,0,0,3M,DF,NS,3,18,9,2,3,4,13,9
40,FC,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1M,MF,PR,1,18,15,2,4,9,12,3
40,FH,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,1M,MF,PR,1,18,13,1,4,8,13,5
41,FC,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3M,FR,NS,1,18,16,4,3,9,11,2
41,FH,0,2,8,1,0,0,0,0,0,0,0,0,0,0,0,3M,FR,NS,1,18,7,0,3,4,15,11
42,FC,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5M,RT,PR,3,18,16,8,5,3,5,2
42,FH,0,0,6,4,0,1,0,1,0,0,0,0,0,0,0,5M,RT,PR,3,18,6,1,1,4,16,12
43,FC,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5M,MF,NS,2,18,16,3,5,8,10,2
43,FH,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,5M,MF,NS,2,18,11,1,5,5,12,7
44,FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3M,RT,PR,3,18,18,5,7,6,6,0
44,FH,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,3M,RT,PR,3,18,13,1,6,6,11,5
45,FC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1M,DF,NS,1,18,17,8,5,4,5,1
45,FH,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1M,DF,NS,1,18,14,3,5,6,10,4
46,FC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,C,RT,PO,2,18,17,5,3,9,10,1
46,FH,0,2,7,3,2,1,0,0,0,0,0,0,0,0,0,C,RT,PO,2,18,3,0,1,2,17,15
47,FC,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1M,MF,PO,2,15,12,4,3,5,8,3
47,FH,0,0,5,5,0,1,0,0,0,0,0,1,0,0,0,1M,MF,PO,2,18,6,1,1,4,16,12
48,FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5M,MF,NS,1,18,18,6,4,8,8,0
48,FH,0,1,3,4,0,0,1,0,0,0,0,0,0,0,0,5M,MF,NS,1,18,9,1,2,6,15,9
49,FC,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1M,RT,PR,1,18,16,0,5,11,13,2
49,FH,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,1M,RT,PR,1,18,11,8,3,NA,7,7
50,FC,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1M,DF,NS,3,18,15,5,5,5,8,3
50,FH,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1M,DF,NS,3,18,NA,0,0,NA,18,5
51,FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1M,DF,PO,1,18,18,2,3,13,13,0
51,FH,0,0,4,2,1,0,0,1,0,0,0,0,0,0,0,1M,DF,PO,1,18,10,1,4,5,13,8
52,FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3M,DF,PR,2,18,18,4,5,9,9,0
52,FH,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3M,DF,PR,2,18,9,5,4,NA,9,9
53,FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5M,FR,PR,1,18,18,5,2,11,11,0
53,FH,0,0,6,1,2,0,0,0,0,0,0,0,0,0,0,5M,FR,PR,1,18,9,2,2,5,14,9
54,FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1M,MF,NS,2,18,18,7,2,9,9,0
54,FH,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,1M,MF,NS,2,18,11,4,3,4,11,7
55,FC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3M,DF,PR,1,18,17,3,2,12,13,1
55,FH,0,0,2,5,2,1,0,0,0,0,0,0,0,0,0,3M,DF,PR,1,18,8,0,2,6,16,10
56,FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5M,MF,PO,2,18,18,3,2,13,13,0
56,FH,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,5M,MF,PO,2,18,14,0,6,8,12,4
57,FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3M,FR,NS,3,18,18,3,2,13,13,0
57,FH,0,0,3,2,2,1,0,0,0,0,0,0,0,0,0,3M,FR,NS,3,18,10,2,3,5,13,8
58,FC,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5M,DF,PR,3,18,16,2,3,11,13,2
58,FH,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,5M,DF,PR,3,18,9,1,6,2,11,9
59,FC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1M,DF,NS,2,18,17,7,4,6,7,1
59,FH,0,1,0,3,1,1,1,0,0,0,0,0,0,0,0,1M,DF,NS,2,18,11,1,4,6,13,7
60,FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1M,DF,PO,3,18,18,7,4,7,7,0
60,FH,0,0,5,2,1,0,0,0,0,0,1,0,0,0,0,1M,DF,PO,3,18,9,1,4,4,13,9
61,FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3M,DF,PO,2,18,18,8,5,5,5,0
61,FH,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,3M,DF,PO,2,18,11,4,5,2,9,7
62,FC,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1M,FR,NS,1,18,17,9,4,4,5,1
62,FH,0,2,4,3,1,0,0,0,0,0,0,0,0,0,0,1M,FR,NS,1,18,8,3,2,3,13,10
63,FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,RT,NS,3,18,18,6,6,6,6,0
63,FH,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,C,RT,NS,3,18,10,2,4,4,12,8
64,FC,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1M,DF,PR,2,18,17,3,5,9,10,1
64,FH,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,1M,DF,PR,2,18,13,1,4,8,13,5
65,FC,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3M,FR,PR,3,18,16,9,4,3,5,2
65,FH,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,3M,FR,PR,3,18,12,4,3,5,11,6
66,FC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,C,RT,NS,1,18,17,7,4,6,7,1
66,FH,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,C,RT,NS,1,18,13,1,5,7,12,5
67,FC,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3M,FR,PR,1,18,17,7,3,7,8,1
67,FH,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,3M,FR,PR,1,18,10,2,4,4,12,8
68,FC,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1M,FR,PR,3,18,17,4,4,9,10,1
68,FH,0,1,6,3,0,0,0,0,0,0,0,0,0,0,0,1M,FR,PR,3,18,8,1,1,6,16,10
69,FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1M,FR,PO,3,18,18,2,3,13,13,0
69,FH,0,1,6,1,1,1,0,0,0,0,0,0,0,0,0,1M,FR,PO,3,18,8,3,1,4,14,10
70,FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1M,DF,PO,2,18,18,2,7,9,9,0
70,FH,0,0,6,3,1,0,0,0,0,0,0,0,0,0,0,1M,DF,PO,2,18,NA,0,0,NA,18,10
71,FC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3M,FR,PO,2,18,17,7,1,9,10,1
71,FH,0,0,6,2,1,1,1,1,0,0,0,0,0,0,0,3M,FR,PO,2,18,6,0,0,6,18,12
72,FC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1M,MF,PR,2,18,17,1,4,12,13,1
72,FH,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,1M,MF,PR,2,18,12,3,4,5,11,6
73,FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5M,DF,PO,3,18,18,2,7,9,9,0
